pop1,pop2,pop3,pop4,pop5,pop6,lan1,lan2,inc1,inc2,inc3,inc4,own1,own2,own3,own4,lab1,lab2,lab3,fsa
14755,8416,6047,14.713.2,72.2,41.6,0.8665984305697714,0.11838962811327192,46039,9850,38139,98701,54.4,16.4,8.8,0.6947456213511259,75.4,5.7,0.20032908268202385,T1W
22496,7192,7017,22.99.4,67.7,36.6,0.7293567772089917,0.240373914978856,48318,13490,47613,129584,75.9,19.9,0.0,0.9122302158273381,74.0,7.6,0.2304778554778555,T1X
57237,19139,18220,19.312.2,68.5,36.4,0.4895313184406483,0.46132282084975906,30696,33125,32345,78538,64.9,19.0,16.2,0.7005509641873279,67.5,11.1,0.3195898778359511,T1Y
639,150,127,16.413.3,70.3,35.8,0.2578125,0.703125,31264,390,32384,147968,78.3,39.1,0.0,1.0,70.0,6.3,0.2087912087912088,T1Z
59641,22652,21108,18.311.3,70.4,37.3,0.5882402564535179,0.36865193183735445,32328,35535,34555,71340,65.6,19.2,8.8,0.6140267175572519,68.7,11.3,0.2960471854304636,T2A
23418,9953,9313,17.212.5,70.3,39.5,0.724764756201882,0.24550898203592814,34963,14125,37682,69304,68.2,19.4,17.9,0.6533477321814255,68.8,10.9,0.29094212302102257,T2B
20406,8332,8011,13.911.2,74.9,41.7,0.8232058014503626,0.15803950987746937,43848,13550,45390,96414,63.3,14.2,12.2,0.766935985083903,73.9,8.4,0.22707423580786026,T2C
34729,17958,16619,13.013.6,73.4,37.1,0.7580929958799294,0.21718658034137728,44346,22865,47143,75389,64.3,16.8,13.9,0.5034837927900636,75.2,9.2,0.2310989199382822,T2E
14370,8593,7457,8.712.3,79.0,36.9,0.7476823861346231,0.2309552599758162,46825,8820,53905,72123,74.2,22.6,26.5,0.43157181571815717,76.5,8.5,0.21984868713840677,T2G
9372,4395,4157,13.616.9,69.6,40.6,0.7316136114160263,0.23545554335894622,38690,5805,40443,70353,59.7,15.9,24.5,0.5778045838359469,70.1,10.7,0.2906371911573472,T2H
46394,18714,18285,15.417.8,66.7,43.8,0.8438208310847275,0.14009713977334054,46565,28850,44126,104463,53.9,13.8,10.1,0.808957699751175,68.4,9.1,0.27876277986281867,T2J
35544,15376,14728,15.814.5,69.7,39.5,0.7401408450704225,0.23492957746478874,38335,22235,38975,77065,54.0,15.5,10.0,0.5995921142080217,70.3,10.3,0.27866108786610877,T2K
14214,6539,6146,13.216.8,70.0,38.2,0.7413976587442356,0.24086555516140476,40821,8840,36826,85039,46.5,13.0,3.3,0.628023352793995,66.5,10.3,0.29347368421052633,T2L
21086,9925,9074,13.99.7,76.4,35.6,0.7626755534396572,0.21804332301832896,45245,14295,44533,93346,57.8,15.5,7.4,0.5660694288913773,75.1,9.0,0.20993227990970656,T2M
26342,12601,11561,13.312.5,74.1,35.3,0.7905738513113785,0.19108657069611518,51035,16465,48503,93028,52.7,13.8,10.5,0.5203323130738959,75.0,8.2,0.22047814537551316,T2N
13056,8723,7215,8.712.8,78.4,35.1,0.505626697710516,0.4578967792006209,41064,8855,42752,66906,56.7,22.5,8.8,0.2797153024911032,74.6,8.7,0.2402044293015332,T2P
13879,10715,8981,4.27.7,88.0,32.6,0.6855391272989542,0.28885683375405696,53102,11345,54575,78130,77.5,20.3,8.8,0.3463905987688864,84.1,7.7,0.15243445692883895,T2R
14637,8485,7727,9.512.9,77.6,36.6,0.8429951690821256,0.14354727398205658,58533,10500,53232,93829,53.0,14.9,3.6,0.49934469200524245,77.2,7.8,0.193622742988859,T2S
29706,15860,14501,14.09.2,76.8,35.2,0.8337304288631723,0.1492511912865895,56014,20545,54158,94878,64.0,15.8,7.3,0.5651114206128134,79.5,7.3,0.1772227772227772,T2T
33450,15417,14642,13.219.9,67.0,42.7,0.7582786509995422,0.21791545856859454,44704,20825,42569,86426,50.5,13.4,9.0,0.6201098146877145,68.3,9.5,0.2843224092116918,T2V
